,Año,Trimestre,Provincia,Accesos por cada 100 hogares
0,2022,3,Buenos Aires,7811
1,2022,3,Capital Federal,12228
2,2022,3,Catamarca,6533
3,2022,3,Chaco,4386
4,2022,3,Chubut,8438
5,2022,3,Córdoba,8831
6,2022,3,Corrientes,4821
7,2022,3,Entre Ríos,6367
8,2022,3,Formosa,4376
9,2022,3,Jujuy,5891
10,2022,3,La Pampa,9659
11,2022,3,La Rioja,8066
12,2022,3,Mendoza,5103
13,2022,3,Misiones,5182
14,2022,3,Neuquén,8037
15,2022,3,Río Negro,6798
16,2022,3,Salta,5776
17,2022,3,San Juan,508
18,2022,3,San Luis,8174
19,2022,3,Santa Cruz,4319
20,2022,3,Santa Fe,7855
21,2022,3,Santiago Del Estero,4798
22,2022,3,Tierra Del Fuego,9951
23,2022,3,Tucumán,6114
24,2022,2,Buenos Aires,7758
25,2022,2,Capital Federal,12131
26,2022,2,Catamarca,624
27,2022,2,Chaco,4379
28,2022,2,Chubut,8319
29,2022,2,Córdoba,8748
30,2022,2,Corrientes,4835
31,2022,2,Entre Ríos,639
32,2022,2,Formosa,4342
33,2022,2,Jujuy,5732
34,2022,2,La Pampa,9298
35,2022,2,La Rioja,8014
36,2022,2,Mendoza,4939
37,2022,2,Misiones,51
38,2022,2,Neuquén,8002
39,2022,2,Río Negro,6785
40,2022,2,Salta,5754
41,2022,2,San Juan,4946
42,2022,2,San Luis,8176
43,2022,2,Santa Cruz,4315
44,2022,2,Santa Fe,779
45,2022,2,Santiago Del Estero,477
46,2022,2,Tierra Del Fuego,9986
47,2022,2,Tucumán,5931
48,2022,1,Buenos Aires,7608
49,2022,1,Capital Federal,1118
50,2022,1,Catamarca,5821
51,2022,1,Chaco,4406
52,2022,1,Chubut,8805
53,2022,1,Córdoba,8576
54,2022,1,Corrientes,4764
55,2022,1,Entre Ríos,637
56,2022,1,Formosa,3496
57,2022,1,Jujuy,5806
58,2022,1,La Pampa,9166
59,2022,1,La Rioja,7877
60,2022,1,Mendoza,4874
61,2022,1,Misiones,4904
62,2022,1,Neuquén,7417
63,2022,1,Río Negro,6704
64,2022,1,Salta,5611
65,2022,1,San Juan,4355
66,2022,1,San Luis,8072
67,2022,1,Santa Cruz,4334
68,2022,1,Santa Fe,773
69,2022,1,Santiago Del Estero,4717
70,2022,1,Tierra Del Fuego,9829
71,2022,1,Tucumán,5739
72,2021,4,Buenos Aires,7566
73,2021,4,Capital Federal,11127
74,2021,4,Catamarca,5525
75,2021,4,Chaco,4405
76,2021,4,Chubut,8257
77,2021,4,Córdoba,8451
78,2021,4,Corrientes,4551
79,2021,4,Entre Ríos,6316
80,2021,4,Formosa,3445
81,2021,4,Jujuy,5692
82,2021,4,La Pampa,8957
83,2021,4,La Rioja,7792
84,2021,4,Mendoza,4751
85,2021,4,Misiones,4906
86,2021,4,Neuquén,733
87,2021,4,Río Negro,6569
88,2021,4,Salta,5681
89,2021,4,San Juan,3959
90,2021,4,San Luis,803
91,2021,4,Santa Cruz,4305
92,2021,4,Santa Fe,7709
93,2021,4,Santiago Del Estero,4705
94,2021,4,Tierra Del Fuego,984
95,2021,4,Tucumán,5593
96,2021,3,Buenos Aires,7168
97,2021,3,Capital Federal,11127
98,2021,3,Catamarca,5271
99,2021,3,Chaco,4296
100,2021,3,Chubut,8071
101,2021,3,Córdoba,8128
102,2021,3,Corrientes,449
103,2021,3,Entre Ríos,6218
104,2021,3,Formosa,3396
105,2021,3,Jujuy,5569
106,2021,3,La Pampa,8428
107,2021,3,La Rioja,7726
108,2021,3,Mendoza,4555
109,2021,3,Misiones,4557
110,2021,3,Neuquén,6971
111,2021,3,Río Negro,6197
112,2021,3,Salta,5596
113,2021,3,San Juan,3946
114,2021,3,San Luis,7987
115,2021,3,Santa Cruz,4375
116,2021,3,Santa Fe,7502
117,2021,3,Santiago Del Estero,47
118,2021,3,Tierra Del Fuego,9495
119,2021,3,Tucumán,5464
120,2021,2,Buenos Aires,70
121,2021,2,Capital Federal,11014
122,2021,2,Catamarca,5234
123,2021,2,Chaco,4333
124,2021,2,Chubut,7229
125,2021,2,Córdoba,8012
126,2021,2,Corrientes,4354
127,2021,2,Entre Ríos,6166
128,2021,2,Formosa,3323
129,2021,2,Jujuy,5618
130,2021,2,La Pampa,8208
131,2021,2,La Rioja,7698
132,2021,2,Mendoza,4097
133,2021,2,Misiones,4501
134,2021,2,Neuquén,6914
135,2021,2,Río Negro,6194
136,2021,2,Salta,5493
137,2021,2,San Juan,3928
138,2021,2,San Luis,8348
139,2021,2,Santa Cruz,4401
140,2021,2,Santa Fe,7507
141,2021,2,Santiago Del Estero,4656
142,2021,2,Tierra Del Fuego,6789
143,2021,2,Tucumán,5493
144,2021,1,Buenos Aires,6911
145,2021,1,Capital Federal,10842
146,2021,1,Catamarca,489
147,2021,1,Chaco,4314
148,2021,1,Chubut,6899
149,2021,1,Córdoba,7859
150,2021,1,Corrientes,4266
151,2021,1,Entre Ríos,6044
152,2021,1,Formosa,3273
153,2021,1,Jujuy,5563
154,2021,1,La Pampa,8178
155,2021,1,La Rioja,4981
156,2021,1,Mendoza,3915
157,2021,1,Misiones,4317
158,2021,1,Neuquén,6684
159,2021,1,Río Negro,6088
160,2021,1,Salta,5393
161,2021,1,San Juan,3906
162,2021,1,San Luis,8124
163,2021,1,Santa Cruz,4165
164,2021,1,Santa Fe,7392
165,2021,1,Santiago Del Estero,4567
166,2021,1,Tierra Del Fuego,7735
167,2021,1,Tucumán,5482
168,2020,4,Buenos Aires,6898
169,2020,4,Capital Federal,10831
170,2020,4,Catamarca,4941
171,2020,4,Chaco,4303
172,2020,4,Chubut,6835
173,2020,4,Córdoba,7808
174,2020,4,Corrientes,4243
175,2020,4,Entre Ríos,5947
176,2020,4,Formosa,3249
177,2020,4,Jujuy,5346
178,2020,4,La Pampa,8177
179,2020,4,La Rioja,5011
180,2020,4,Mendoza,3863
181,2020,4,Misiones,4264
182,2020,4,Neuquén,67
