Año,Trimestre,Provincia,Accesos telefonía fija por cada 100 hab,Accesos telefonía fija por cada 100 hogares,Accesos telefonía fija (total),Accesos telefonía fija (hogares),Accesos telefonía fija (comercial),Accesos telefonía fija (gobierno),Accesos telefonía fija (otros),Accesos TV por suscripción por cada 100 hab,Accesos TV por suscripción por cada 100 hogares,Accesos TV por suscripción
2014,1,Buenos Aires,26.72,85.26,4385408,3622153,48881,14179,260266,1434,4707,2363240
2014,1,Capital Federal,52.66,128.57,1604914,1325588,178888,5189,95249,2268,5971,69144
2014,1,Catamarca,10.03,39.45,39318,32476,4382,127,2333,464,1825,18239
2014,1,Chaco,9.09,34.02,102435,84607,11418,331,6079,779,2918,88112
2014,1,Chubut,17.66,57.59,97607,80618,1088,316,5793,1234,4033,68671
2014,1,Córdoba,21.09,68.88,741515,61246,82651,2397,44007,1448,4734,511023
2014,1,Corrientes,9.71,36.88,102607,84748,11437,332,609,576,2189,61056
2014,1,Entre Ríos,17.14,57.33,223508,184607,24913,723,13265,834,2792,109137
2014,1,Formosa,7.38,28.98,42201,34856,4704,136,2505,523,2056,30013
2014,1,Jujuy,7.81,30.56,55953,46214,6237,181,3321,898,3513,64535
2014,1,La Pampa,21.26,64.52,72038,595,803,233,4275,1994,6056,67773
2014,1,La Rioja,10.98,41.24,39625,32728,4417,128,2352,692,2604,25108
2014,1,Mendoza,17.26,61.84,320413,264647,35714,1036,19016,574,2058,106933
2014,1,Misiones,9.49,34.85,111018,91696,12374,359,6589,845,3104,9922
2014,1,Neuquén,15.27,51.29,92732,76593,10336,300,5503,1734,5831,105837
2014,1,Río Negro,17.69,57.51,121289,10018,13519,392,7198,583,1896,40129
2014,1,Salta,10.76,44.44,140841,116328,15699,455,8359,936,3871,12312
2014,1,San Juan,12.71,49.89,92461,76369,10306,299,5487,575,2260,42011
2014,1,San Luis,10.92,38.17,51097,42205,5695,165,3032,359,1256,16869
2014,1,Santa Cruz,13.17,44.25,40625,33555,4528,131,2411,679,2285,21133
2014,1,Santa Fe,22.93,72.91,770361,636284,85867,2491,45719,1622,5162,546523
2014,1,Santiago del Estero,7.73,31.15,70717,58409,7882,229,4197,1013,4084,92972
2014,1,Tierra del Fuego,22.23,74.98,32631,26951,3637,106,1937,2017,6818,29886
2014,1,Tucumán,13.47,54.39,210917,174209,23509,682,12517,71,2867,111552
2014,2,Buenos Aires,26.61,84.74,4379382,3610509,492119,14373,262381,1504,4935,2477696
2014,2,Capital Federal,52.56,127.68,1602485,1321143,180074,5259,96009,227,5978,692311
2014,2,Catamarca,10.02,39.38,39351,32442,4422,129,2358,697,2740,27382
2014,2,Chaco,9.06,33.89,10231,84347,11497,336,613,758,2839,85726
2014,2,Chubut,17.57,57.31,97603,80467,10968,320,5848,1233,4027,68578
2014,2,Córdoba,20.91,68.28,737107,607696,8283,2419,44162,2761,9025,974174
2014,2,Corrientes,9.69,36.8,102628,84609,11533,337,6149,834,3171,88423
2014,2,Entre Ríos,17.12,57.25,223774,184487,25146,734,13407,1132,3790,148123
2014,2,Formosa,7.37,28.95,42246,34829,4747,139,2531,811,3190,46553
2014,2,Jujuy,7.82,30.59,56187,46323,6314,184,3366,1001,3919,71984
2014,2,La Pampa,21.45,65.09,72837,60049,8185,239,4364,2258,6857,76732
2014,2,La Rioja,10.9,40.94,39474,32543,4436,130,2365,691,2600,25071
2014,2,Mendoza,17.2,61.64,320351,264109,35998,1051,19193,624,2238,116281
2014,2,Misiones,9.45,34.7,110906,91434,12463,364,6645,974,3578,114366
2014,2,Neuquén,15.22,51.12,92792,76501,10427,305,5559,2535,8526,154762
2014,2,Río Negro,17.62,57.28,12125,99963,13625,398,7264,843,2745,58097
2014,2,Salta,10.75,44.37,141122,116346,15858,463,8455,1263,5219,166019
2014,2,San Juan,12.67,49.73,92439,7621,10388,303,5538,577,2267,42146
2014,2,San Luis,10.89,38.03,51093,42123,5741,168,3061,1185,4146,55697
2014,2,Santa Cruz,13.11,44.04,40728,33577,4577,134,244,1495,5033,46547
2014,2,Santa Fe,22.8,72.51,767767,632973,86275,252,45999,1929,6140,650114
2014,2,Santiago del Estero,7.7,31.02,70616,58218,7935,232,4231,1055,4254,96849
2014,2,Tierra del Fuego,22.08,74.44,32631,26902,3667,107,1955,2344,7922,34726
2014,2,Tucumán,13.49,54.47,211913,174709,23813,695,12696,764,3088,120165
2014,3,Buenos Aires,26.69,84.85,4405762,3631816,500343,14902,258701,1505,4938,2479337
2014,3,Capital Federal,52.69,127.35,1607082,1324771,182509,5436,94366,2261,5953,689381
2014,3,Catamarca,10.02,39.39,39453,32522,4481,133,2317,701,2757,27544
2014,3,Chaco,9.35,34.97,105864,87267,12023,358,6216,757,2835,85608
2014,3,Chubut,17.57,57.32,98074,80845,11138,332,5759,1231,4021,68472
2014,3,Córdoba,20.74,67.73,73313,604343,83258,248,43049,2765,9040,97585
2014,3,Corrientes,9.94,37.74,105505,86971,11982,357,6195,847,3220,89802
2014,3,Entre Ríos,17.59,58.84,230563,190061,26184,780,13538,1151,3853,150597
2014,3,Formosa,7.36,28.92,4231,34878,4805,143,2484,809,3181,46428
2014,3,Jujuy,7.82,30.59,56366,46464,6401,191,331,1029,4027,73976
2014,3,La Pampa,21.2,64.33,72155,5948,8194,244,4237,2293,6963,77927
2014,3,La Rioja,10.83,40.69,39373,32457,4471,133,2312,678,2551,24594
2014,3,Mendoza,17.15,61.44,320228,263975,36367,1083,18803,627,2250,116918
2014,3,Misiones,9.52,34.93,111998,92324,12719,379,6576,986,3624,115847
2014,3,Neuquén,15.16,50.92,92775,76477,10536,314,5448,2536,8528,154805
2014,3,Río Negro,17.57,57.13,12135,100033,13781,410,7126,844,2748,58165
2014,3,Salta,10.72,44.27,141312,116488,16048,478,8298,1268,5240,166681
2014,3,San Juan,12.72,49.91,93056,76709,10568,315,5464,585,2300,42753
2014,3,San Luis,10.78,37.67,50779,41858,5767,172,2982,1167,4081,54824
2014,3,Santa Cruz,13.11,44.03,41015,3381,4658,139,2408,1404,4728,43728
2014,3,Santa Fe,22.9,72.83,772744,636998,87757,2614,45375,1941,6177,654067
2014,3,Santiago del Estero,7.69,30.98,70719,58296,8031,239,4153,1065,4295,97796
2014,3,Tierra del Fuego,21.97,74.08,32698,26954,3713,111,192,2364,7991,35025
2014,3,Tucumán,13.52,54.56,212958,175548,24185,720,12505,761,3077,11972
2014,4,Buenos Aires,26.96,85.55,4463139,3680053,509659,15264,258163,1513,4965,2492829
2014,4,Capital Federal,52.93,127.29,1615174,1331781,184442,5524,93427,2264,5962,690404
2014,4,Catamarca,9.99,39.27,39423,32506,4502,135,228,719,2827,28249
2014,4,Chaco,9.28,34.71,105378,8689,12033,360,6095,805,3014,91003
2014,4,Chubut,17.76,57.92,99562,82093,11369,341,5759,1229,4015,68381
2014,4,Córdoba,20.65,67.43,731926,603505,83581,2503,42337,2767,9044,97625
2014,4,Corrientes,9.89,37.55,105219,86758,12015,360,6086,861,3271,9121
2014,4,Entre Ríos,17.51,58.56,230049,189685,2627,787,13307,1161,3885,151868
2014,4,Formosa,7.31,28.73,42133,34741,4811,144,2437,812,3192,4659
2014,4,Jujuy,7.81,30.55,56456,4655,6447,193,3266,1103,4319,79331
