Año,Trimestre,Accesos telefonía fija (total),Accesos telefonía fija (hogares),Accesos telefonía fija (comercial),Accesos telefonía fija (gobierno),Accesos telefonía fija (otros),Accesos telefonía fija por cada 100 hab,Accesos telefonía fija por cada 100 hogares,Ingresos telefonía fija (miles de $),Periodo,Accesos TV por suscripción por cada 100 hab,Accesos TV satelital por cada 100 hab,Accesos TV por suscripción por cada 100 hogares,Accesos TV satelital por cada 100 hogares,Accesos TV por suscripción,Accesos TV satelital,Ingresos TV por suscripción  (miles de $),Ingresos TV satelital (miles de $),Accesos por cada 100 hab_movil,Total de accesos pospago,Total de accesos prepago,Total de accesos operativos,Llamadas pospago salientes (miles),Llamadas prepago salientes (miles),Total de llamadas salientes (miles),Minutos pospago salientes (miles),Minutos prepago salientes (miles),Total de minutos salientes (miles),Nímero de SMS salientes,Ingresos telefonía móvil (miles de $)
2014,1,9562231,7897980,1065834,30917,5675,22.49,74.04,2916071.75,Ene-Mar 2014,1274,557,4272,1848,6427199,2643542,3599484.35,2001221.17,148,8224482,54725089,62949571,4001399,3589181,7590580,10128751,5799223,15927974,18393198881,15938353
2014,2,9548994,7872511,1073038,31339,572106,22.40,73.65,2974865.20,Abr-Jun 2014,1509,597,5061,1981,6438522,2546820,4053729.07,2341708.31,143,7953775,53009865,60963640,4373148,3942142,8315290,10821463,6438071,17259534,15877208560,17680972
2014,3,9613361,7924613,1091747,32516,564485,22.49,73.86,3105462.02,Jul-Sept 2014,1512,574,507,1906,6449845,2450098,4423008.82,2530796.72,143,8214424,53102043,61316467,4676132,4356668,9032801,11524344,7179152,18703495,14201444366,18976053
2014,4,9689752,7989623,1106502,33139,560488,22.61,74.16,3339690.90,Oct-Dic 2014,1518,578,5092,1918,6478044,2466184,4711967.39,2686124.01,143,8027505,53093330,61120835,4957353,4649196,9606550,11997330,7147630,19144961,12287624401,20012332
2015,1,10086221,8358053,1134427,36888,556853,23.47,76.89,3260124.75,Ene-Mar 2015,1486,579,4986,1941,6409504,2495326,5292088.22,3021837.23,140,7747230,52474633,60221863,4180427,3992229,8172656,10273637,6480172,16753809,14254061889,19337342
2015,2,9991190,8291156,1103025,34419,56259,23.18,75.87,3425518.48,Abr-Jun 2015,1498,599,5025,2009,6460053,2582737,5467604.99,3196655.00,139,7633527,52241939,59875466,4612087,4081505,8693592,11226576,6579819,17806395,12732243852,19945453
2015,3,10050617,8364541,1095767,3523,555079,23.26,76.03,3590883.18,Jul-Sept 2015,1505,599,5048,2011,6489305,2585384,6130815.97,3439335.70,141,7600799,53131712,60732511,4834496,4544938,9379434,11766711,7198826,18965537,11650531080,21785238
2015,4,9975798,8380800,1003363,35161,556474,23.03,75.17,3815364.12,Oct-Dic 2015,1508,588,5061,1974,6506102,2537610,6347226.86,3635228.39,143,7594526,54247485,61842011,5015851,4799840,9815691,11905073,7301039,19206111,10588029213,24881967
2016,1,10239381,8950226,721226,37841,530088,23.57,76.86,4198260.39,Ene-Mar 2016,1492,583,5008,1955,6505712,2539255,7137386.23,4069679.63,142,7483126,54003635,61486761,4602640,4291789,8894429,11230991,6656647,17887638,9525079422,24763052
2016,2,10379749,9037000,759247,38093,545409,23.83,77.65,4718769.82,Abr-Jun 2016,1499,606,503,2034,6534381,2642286,7353428.98,4400976.43,143,7565115,54557406,62122521,4633918,4362030,8995948,11493027,6778732,18271759,8390644680,25353971
