,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
0,2022,3,Buenos Aires,339648.0,2748325.0,1436433.0,126846,70416,4721668.0
1,2022,3,Capital Federal,140791.0,1240125.0,129218.0,5758,31787,1547679.0
2,2022,3,Catamarca,10010.0,10495.0,46224.0,1329,2235,70293.0
3,2022,3,Chaco,27164.0,61800.0,44645.0,8178,2359,144146.0
4,2022,3,Chubut,45377.0,72212.0,9574.0,29784,8831,165778.0
5,2022,3,Córdoba,163770.0,465461.0,338570.0,6107,9797,1038668.0
6,2022,3,Corrientes,36508.0,77140.0,18619.0,7256,5323,144846.0
7,2022,3,Entre Ríos,60345.0,132952.0,36971.0,26098,12593,268959.0
8,2022,3,Formosa,14470.0,25880.0,11041.0,16935,2120,68538.0
9,2022,3,Jujuy,19257.0,52978.0,40172.0,4033,2383,118823.0
10,2022,3,La Pampa,7796.0,60078.0,23551.0,20216,4451,116092.0
11,2022,3,La Rioja,6842.0,53899.0,19697.0,6395,310,86864.0
12,2022,3,Mendoza,37659.0,78858.0,142615.0,27625,2766,289523.0
13,2022,3,Misiones,35513.0,88902.0,39046.0,11074,7622,182157.0
14,2022,3,Neuquén,29352.0,75815.0,29396.0,27482,1116,163161.0
15,2022,3,Río Negro,35552.0,48260.0,41017.0,1676,18969,160558.0
16,2022,3,Salta,40006.0,96984.0,50254.0,10082,7215,204541.0
17,2022,3,San Juan,38570.0,22723.0,12328.0,2186,7918,103399.0
18,2022,3,San Luis,6860.0,29363.0,248.0,70614,14985,122070.0
19,2022,3,Santa Cruz,10170.0,24047.0,10815.0,3896,5820,49510.0
20,2022,3,Santa Fe,183740.0,426255.0,215189.0,43079,19547,887810.0
21,2022,3,Santiago Del Estero,15385.0,80937.0,13170.0,6618,2922,119032.0
22,2022,3,Tierra Del Fuego,12754.0,39963.0,403.0,1250,6510,53896.0
23,2022,3,Tucumán,77738.0,18518.0,162345.0,3997,5190,263117.0
24,2022,2,Buenos Aires,350652.0,2719613.0,1399043.0,126847,71028,4667183.0
25,2022,2,Capital Federal,145491.0,1232226.0,121506.0,5757,31791,1536771.0
26,2022,2,Catamarca,11928.0,9430.0,42087.0,1329,2234,67008.0
27,2022,2,Chaco,29552.0,61284.0,42194.0,8178,2356,143564.0
